Designator,Mid X,Mid Y,Rotation,Layer
_10,56.636887,-54.403389,90.0,top
_9,57.640001,-125.027255,270.0,top
_8,156.030001,-125.027255,270.0,top
_7,76.126887,-28.323388,29.0,top
_6,137.536887,-28.313389,151.0,top
_5,57.640001,-118.027255,270.0,top
_4,22.320836,-86.560427,296.0,top
_3,156.030001,-118.027255,270.0,top
_2,191.333595,-86.582252,244.0,top
,157.026886,-54.403388,180.0,bottom
J1,129.535,-108.375,0.0,top
J2,106.835,-95.0625,0.0,top
J3,106.840002,-37.452502,0.0,top
POWER_SWITCH1,139.817158,-110.755002,180.0,top
USB1,73.837161,-112.48,180.0,top
