Designator,Footprint,Quantity,Value,LCSC Part #
"_10, _9, _8, _7, _6, _5, _4, _3, _2, ",,10,,
ARRAY_MORRO1,DragonBot_pads_main,1,Conn_01x08_Socket,
BATT1,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,Conn_01x04_Socket,
BMP1,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
"BTN_MENU1, BTN_MENU2, BTN_RST1",Generic_SmallButton_6x3,3,~,
BUK9Q20-40H1,Mosfet_succion_BUK9Q20,1,NMOS,
"C1, CA1, CPH3, CPH6",0402,4,4.7uF,
"C10, C11, C2, C3, C7, CB1, CB2, CEN2, CEN4, CG1, CG2, CIR2, CR1, CRBC1, CRBC2, CRBC3, CRBC4, CSRAM1",0402,18,0.1uF,
"C12, C8, CA2, CA3, CEN1, CEN3, CPH2, CPH5",0402,8,1uF,
"C13, C17",0805,2,10uF,C380331
"C15, C18",0805,2,0.1uF,C2847428
"C4, C9",0402,2,2.2uF,
"C5, C6",0402,2,20pF,
"CA10, CDM1, CDM2, CDM6, CDM7",0805,5,47uF,
"CA11, CA12, CA13, CA14, CA4, CA5, CA6, CA7, CA8, CDM10, CDM3, CDM4, CDM5, CDM8, CDM9, CIR1",0402,16,10uF,
CA9,1206,1,47uF,
"CF1, CF2",0402,2,0.22uF,
"CONN_ENC_L1, CONN_ENC_R1",DragonBot_PCBmodule_encoder,2,Conn_01x04_Socket,
CONN_MORRO1,DragonBot_pads_morro,1,Conn_01x08_Pin,
"CPH1, CPH4",0402,2,100nF,
"D1, D10, D2, D3, D4, D5, D6, D7, D8, D9",0805,10,LED,
"D11, D12",D_SOD-123,2,SS34FA,
"D13, D14, D15, DPH1, DPH2",0402,5,LED,
D16,0805,1,D,
DC-DC1,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,~,
DEIXAME_QUE_PENSE_1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,
"ENC_L1, ENC_R1",DragonBot2_PCBmain_Encoder,2,Conn_01x04_Socket,
"IC1, IC2",Encoder_AS5145B,2,AS5145B-HSST,
IR_RECIVER1,IR_SENSOR_SMD_TSSP77038ETR,1,~,
"J1, POWER_MPU1",ZoroBot3_Power_MPU,2,Conn_01x02_Socket,
"J2, LOGIC_MPU1",ZoroBot3_Data_MPU,2,Conn_01x04_Socket,
"JP1, JP2, JP99",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,SolderJumper_2_Open,
L1,L_Wuerth_HCM-7050,1,L,
LDO1,DFN-6-2x2mm_P0.5mm_LDO_Dragonbot,1,LDL212PV33R,
LSM6DSR1,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,~,
"MOT_L1, MOT_L2, MOT_R1, MOT_R2, MOT_S1, MOT_S2",Connector_motor_1.25_Hirose_DF13-02P-1.25DSA_1x02_P1.25mm_Vertical,6,Conn_01x02_Socket,
"MP1, MP2",MP6615,2,~,
"MUX1, MUX2, MUX3",MUX_CD4051B,3,CD4051B,C3007951
POWER_SWITCH1,Generic_Swich_ONOFF,1,SW_DPDT_x2,
Q1,AON7423,1,AON7423,
"R1, R12, R13, RBC4, RBTN1, RBTN2",0402,6,47K,
"R10, R11, R14, R15, R16, R17, R2, R3, R4, R5, R6, R7, R8, R9, RPH1, RPH2",0402,16,330,
"R18, R23, R25",0402,3,1K,
"R19, R24, R27, R29, R31, R32, R34, R35, R37, R38, R40, R41, R43, R44, R46, R47, R49, R50, R52, R53, R55, R56, R58, R59, R61, R62, R64, R65",0402,28,10k,C17414
"R20, RBC2",0402,2,100K,
R21,0402,1,33K,
"R22, RRAM1",0402,2,10K,
"R26, R28, R30, R33, R36, R39, R42, R45, R48, R51, R54, R57, R60, R63",0402,14,45,C3017827
"RBC1, RBC3",0402,2,27K,
"RCS1, RCS2, RCS3, RCS4",0402,4,5K,
"RF1, RF2",0402,2,220,
RGB1,LED_RGB_5050-6,1,LED_RGB,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S3, S4, S5, S6, S7, S8, S9",DragonBot2_QRE1113,24,~,C81632
"SEN_MARK_CONN_L1, SEN_MARK_CONN_R1, SEN_MARK_L1, SEN_MARK_R1",DragonBot_pad_marcas,4,Conn_01x04_Socket,
"SML1, SML2, SMR1, SMR2",FujitoraBot2_QRE1113,4,~,C81632
SRAM1,TSSOP-8_4.4x3mm_P0.65mm,1,23AA04M-I/ST,
USB1,USB-C ST-Link USART,1,~,
Y1,Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm,1,Crystal_GND24,
