Designator,Mid X,Mid Y,Rotation,Layer
_10,194.58,-45.03,270.0,top
_9,99.82,-108.23,0.0,top
_8,189.0,-108.24,0.0,top
_7,113.68,-71.12,331.0,top
_6,98.95,-108.68,0.0,top
_5,175.24,-71.02,209.0,top
_4,193.57,-117.94,270.0,top
_3,189.91,-108.76,0.0,top
_2,95.18,-117.94,270.0,top
,94.19,-45.03,0.0,top
ARRAY_MORRO1,144.377155,-95.667501,0.0,top
BATT1,167.067156,-112.030005,90.0,top
BMP1,144.479366,-117.157502,0.0,bottom
BTN_MENU1,101.14,-113.755,270.0,top
BTN_MENU2,187.4,-113.675,270.0,top
BTN_RST1,131.397155,-101.070005,90.0,top
BUK9Q20-40H1,144.477156,-124.210004,180.0,bottom
C1,131.627156,-109.427501,90.0,top
C10,114.877157,-118.422501,270.0,top
C11,118.147156,-109.830002,180.0,top
C12,118.147153,-108.930005,180.0,top
C13,193.162158,-49.375003,325.0,top
C15,95.652157,-49.395003,35.0,top
C17,193.142155,-46.935004,145.0,top
C18,95.552156,-46.975004,215.0,top
C2,132.527153,-109.427505,90.0,top
C3,131.992499,-121.240005,180.0,top
C4,132.002497,-120.310004,180.0,top
C5,129.647154,-106.190005,90.0,top
C6,124.437157,-106.320001,270.0,top
C7,122.877158,-107.57,180.0,top
C8,122.877155,-106.600006,180.0,top
C9,115.827155,-118.412506,270.0,top
CA1,156.782155,-102.285001,0.0,bottom
CA10,157.402156,-100.825006,0.0,top
CA11,156.785084,-106.007933,180.0,bottom
CA12,156.785086,-105.07793,180.0,bottom
CA13,156.785084,-104.147932,180.0,bottom
CA14,156.785086,-103.217934,180.0,bottom
CA2,156.792156,-110.355007,180.0,bottom
CA3,178.444656,-113.620004,0.0,top
CA4,156.792155,-109.435004,180.0,bottom
CA5,158.952157,-110.355001,0.0,bottom
CA6,158.962156,-108.515006,0.0,bottom
CA7,158.962154,-109.435002,0.0,bottom
CA8,156.792155,-108.515002,180.0,bottom
CA9,162.592154,-119.995003,0.0,top
CB1,144.5,-115.272847,180.0,bottom
CB2,146.497156,-117.160004,270.0,bottom
CDM1,117.904227,-127.405359,90.0,top
CDM10,175.447156,-126.190003,0.0,bottom
CDM2,119.637156,-127.410006,90.0,top
CDM3,113.237156,-124.360003,180.0,bottom
